Country Name,Indicator Name,Year,Value
Denmark,Unemployment levels (%),1984,7.925
Denmark,National savings (% GDP),1984,19.713
Germany,National savings (% GDP),1984,21.687
Japan,"Inflation (CPI, %))",1984,82.877
Japan,National savings (% GDP),1984,29.118
Japan,Unemployment levels (%),1984,2.708
South Africa,"Inflation (CPI, %))",1984,5.2
South Africa,Unemployment levels (%),1984,13.718
South Africa,National savings (% GDP),1984,21.594
Costa Rica,National savings (% GDP),1984,18.351
Chile,Unemployment levels (%),1984,17.515
Costa Rica,Unemployment levels (%),1984,5.361
Costa Rica,"Inflation (CPI, %))",1984,3.01
Chile,"Inflation (CPI, %))",1984,8.267
Chile,National savings (% GDP),1984,2.296
Ghana,"Inflation (CPI, %))",1984,0.458
Ghana,National savings (% GDP),1984,6.089
United States,National savings (% GDP),1985,20.308
United States,Unemployment levels (%),1985,7.192
United States,"Inflation (CPI, %))",1985,109.283
Germany,Unemployment levels (%),1985,8.124
Germany,"Inflation (CPI, %))",1985,
Denmark,"Inflation (CPI, %))",1985,53.563
Denmark,Unemployment levels (%),1985,6.617
Denmark,National savings (% GDP),1985,21.126
Germany,National savings (% GDP),1985,22.052
Japan,"Inflation (CPI, %))",1985,84.245
Japan,National savings (% GDP),1985,30.748
Japan,Unemployment levels (%),1985,2.625
South Africa,"Inflation (CPI, %))",1985,6.2
South Africa,Unemployment levels (%),1985,15.452
South Africa,National savings (% GDP),1985,24.32
Costa Rica,National savings (% GDP),1985,22.469
Chile,Unemployment levels (%),1985,14.975
Costa Rica,Unemployment levels (%),1985,6.846
Costa Rica,"Inflation (CPI, %))",1985,3.34
Chile,"Inflation (CPI, %))",1985,10.485
Chile,National savings (% GDP),1985,7.989
Ghana,"Inflation (CPI, %))",1985,0.547
Ghana,National savings (% GDP),1985,8.635
United States,National savings (% GDP),1986,18.882
United States,Unemployment levels (%),1986,7.0
United States,"Inflation (CPI, %))",1986,111.133
Germany,Unemployment levels (%),1986,7.834
Germany,"Inflation (CPI, %))",1986,
Denmark,"Inflation (CPI, %))",1986,55.955
Denmark,Unemployment levels (%),1986,4.983
Denmark,National savings (% GDP),1986,22.994
Germany,National savings (% GDP),1986,23.593
Japan,"Inflation (CPI, %))",1986,84.053
Japan,National savings (% GDP),1986,31.029
Japan,Unemployment levels (%),1986,2.767
South Africa,"Inflation (CPI, %))",1986,7.2
South Africa,Unemployment levels (%),1986,16.049
South Africa,National savings (% GDP),1986,23.582
Costa Rica,National savings (% GDP),1986,23.419
Chile,Unemployment levels (%),1986,12.299
Costa Rica,Unemployment levels (%),1986,6.229
Costa Rica,"Inflation (CPI, %))",1986,3.85
Chile,"Inflation (CPI, %))",1986,12.304
Chile,National savings (% GDP),1986,10.613
Ghana,"Inflation (CPI, %))",1986,0.73
Ghana,National savings (% GDP),1986,8.87
United States,National savings (% GDP),1987,19.548
United States,Unemployment levels (%),1987,6.175
United States,"Inflation (CPI, %))",1987,115.783
Germany,Unemployment levels (%),1987,7.843
Germany,"Inflation (CPI, %))",1987,
Denmark,"Inflation (CPI, %))",1987,58.14
Denmark,Unemployment levels (%),1987,5.0
Denmark,National savings (% GDP),1987,21.036
Germany,National savings (% GDP),1987,22.801
Japan,"Inflation (CPI, %))",1987,84.682
Japan,National savings (% GDP),1987,30.715
Japan,Unemployment levels (%),1987,2.85
South Africa,"Inflation (CPI, %))",1987,8.4
South Africa,Unemployment levels (%),1987,16.592
South Africa,National savings (% GDP),1987,22.013
Costa Rica,National savings (% GDP),1987,21.966
Chile,Unemployment levels (%),1987,10.984
Costa Rica,Unemployment levels (%),1987,5.577
Costa Rica,"Inflation (CPI, %))",1987,4.49
Chile,"Inflation (CPI, %))",1987,14.905
Chile,National savings (% GDP),1987,17.485
Ghana,"Inflation (CPI, %))",1987,0.979
Ghana,National savings (% GDP),1987,12.333
United States,National savings (% GDP),1988,20.564
United States,Unemployment levels (%),1988,5.492
United States,"Inflation (CPI, %))",1988,120.983
Germany,Unemployment levels (%),1988,7.735
Germany,"Inflation (CPI, %))",1988,
Denmark,"Inflation (CPI, %))",1988,60.844
Denmark,Unemployment levels (%),1988,5.658
Denmark,National savings (% GDP),1988,21.058
Germany,National savings (% GDP),1988,23.951
Japan,"Inflation (CPI, %))",1988,85.574
Japan,National savings (% GDP),1988,31.949
Japan,Unemployment levels (%),1988,2.517
South Africa,"Inflation (CPI, %))",1988,9.4
South Africa,Unemployment levels (%),1988,17.238
South Africa,National savings (% GDP),1988,22.333
Costa Rica,National savings (% GDP),1988,20.889
Chile,Unemployment levels (%),1988,9.875
Costa Rica,Unemployment levels (%),1988,5.461
Costa Rica,"Inflation (CPI, %))",1988,5.62
Chile,"Inflation (CPI, %))",1988,16.738
Chile,National savings (% GDP),1988,20.746
Ghana,"Inflation (CPI, %))",1988,1.239
Ghana,National savings (% GDP),1988,13.765
United States,National savings (% GDP),1989,19.674
United States,Unemployment levels (%),1989,5.258
United States,"Inflation (CPI, %))",1989,126.95
Germany,Unemployment levels (%),1989,6.79
Germany,"Inflation (CPI, %))",1989,
Denmark,"Inflation (CPI, %))",1989,63.756
Denmark,Unemployment levels (%),1989,6.825
Denmark,National savings (% GDP),1989,21.324
Germany,National savings (% GDP),1989,25.256
Japan,"Inflation (CPI, %))",1989,87.797
Japan,National savings (% GDP),1989,32.755
Japan,Unemployment levels (%),1989,2.25
South Africa,"Inflation (CPI, %))",1989,10.9
South Africa,Unemployment levels (%),1989,17.829
South Africa,National savings (% GDP),1989,22.71
Costa Rica,National savings (% GDP),1989,19.303
Chile,Unemployment levels (%),1989,7.98
Costa Rica,Unemployment levels (%),1989,3.774
Costa Rica,"Inflation (CPI, %))",1989,6.18
Chile,"Inflation (CPI, %))",1989,20.286
Chile,National savings (% GDP),1989,29.867
Ghana,"Inflation (CPI, %))",1989,1.616
Ghana,National savings (% GDP),1989,15.155
United States,National savings (% GDP),1990,18.674
United States,Unemployment levels (%),1990,5.617
United States,"Inflation (CPI, %))",1990,134.267
Germany,Unemployment levels (%),1990,6.155
Germany,"Inflation (CPI, %))",1990,
Denmark,"Inflation (CPI, %))",1990,64.9
Denmark,Unemployment levels (%),1990,7.167
Denmark,National savings (% GDP),1990,20.793
Germany,National savings (% GDP),1990,24.252
Japan,"Inflation (CPI, %))",1990,90.972
Japan,National savings (% GDP),1990,32.882
Japan,Unemployment levels (%),1990,2.1
South Africa,"Inflation (CPI, %))",1990,12.5
South Africa,Unemployment levels (%),1990,18.784
South Africa,National savings (% GDP),1990,19.457
Costa Rica,National savings (% GDP),1990,19.398
Chile,Unemployment levels (%),1990,7.75
Costa Rica,Unemployment levels (%),1990,4.642
Costa Rica,"Inflation (CPI, %))",1990,7.87
Chile,"Inflation (CPI, %))",1990,25.811
Chile,National savings (% GDP),1990,21.431
Ghana,"Inflation (CPI, %))",1990,2.197
Ghana,National savings (% GDP),1990,27.351
United States,National savings (% GDP),1991,18.733
United States,Unemployment levels (%),1991,6.85
United States,"Inflation (CPI, %))",1991,138.2
Germany,Unemployment levels (%),1991,5.47
Germany,"Inflation (CPI, %))",1991,66.98
Denmark,"Inflation (CPI, %))",1991,66.3
Denmark,Unemployment levels (%),1991,7.867
Denmark,National savings (% GDP),1991,19.6
Germany,National savings (% GDP),1991,25.031
Japan,"Inflation (CPI, %))",1991,93.517
Japan,National savings (% GDP),1991,32.953
Japan,Unemployment levels (%),1991,2.092
South Africa,"Inflation (CPI, %))",1991,14.5
South Africa,Unemployment levels (%),1991,20.162
South Africa,National savings (% GDP),1991,18.883
Costa Rica,National savings (% GDP),1991,15.294
Chile,Unemployment levels (%),1991,8.217
Costa Rica,Unemployment levels (%),1991,5.5
Costa Rica,"Inflation (CPI, %))",1991,9.207
Chile,"Inflation (CPI, %))",1991,30.627
Chile,National savings (% GDP),1991,22.599
Ghana,"Inflation (CPI, %))",1991,2.422
Ghana,National savings (% GDP),1991,23.404
United States,National savings (% GDP),1992,17.607
United States,Unemployment levels (%),1992,7.492
United States,"Inflation (CPI, %))",1992,142.55
Germany,Unemployment levels (%),1992,6.592
Germany,"Inflation (CPI, %))",1992,69.19
Denmark,"Inflation (CPI, %))",1992,67.1
Denmark,Unemployment levels (%),1992,8.608
Denmark,National savings (% GDP),1992,18.923
Germany,National savings (% GDP),1992,24.654
Japan,"Inflation (CPI, %))",1992,94.438
Japan,National savings (% GDP),1992,32.385
Japan,Unemployment levels (%),1992,2.15
South Africa,"Inflation (CPI, %))",1992,15.9
South Africa,Unemployment levels (%),1992,21.213
South Africa,National savings (% GDP),1992,17.05
Costa Rica,National savings (% GDP),1992,15.662
Chile,Unemployment levels (%),1992,6.7
Costa Rica,Unemployment levels (%),1992,4.1
Costa Rica,"Inflation (CPI, %))",1992,10.769
Chile,"Inflation (CPI, %))",1992,34.515
Chile,National savings (% GDP),1992,20.204
Ghana,"Inflation (CPI, %))",1992,2.745
Ghana,National savings (% GDP),1992,21.317
United States,National savings (% GDP),1993,16.97
United States,Unemployment levels (%),1993,6.908
United States,"Inflation (CPI, %))",1993,146.333
Germany,Unemployment levels (%),1993,7.775
Germany,"Inflation (CPI, %))",1993,72.096
Denmark,"Inflation (CPI, %))",1993,67.8
Denmark,Unemployment levels (%),1993,9.533
Denmark,National savings (% GDP),1993,17.355
Germany,National savings (% GDP),1993,23.373
Japan,"Inflation (CPI, %))",1993,95.484
Japan,National savings (% GDP),1993,31.413
Japan,Unemployment levels (%),1993,2.5
South Africa,"Inflation (CPI, %))",1993,17.4
South Africa,Unemployment levels (%),1993,22.163
South Africa,National savings (% GDP),1993,16.048
Costa Rica,National savings (% GDP),1993,13.827
Chile,Unemployment levels (%),1993,6.5
Costa Rica,Unemployment levels (%),1993,4.1
Costa Rica,"Inflation (CPI, %))",1993,11.743
Chile,"Inflation (CPI, %))",1993,38.738
Chile,National savings (% GDP),1993,21.702
Ghana,"Inflation (CPI, %))",1993,3.504
Ghana,National savings (% GDP),1993,20.022
United States,National savings (% GDP),1994,17.782
United States,Unemployment levels (%),1994,6.1
United States,"Inflation (CPI, %))",1994,150.317
Germany,Unemployment levels (%),1994,8.425
Germany,"Inflation (CPI, %))",1994,73.899
Denmark,"Inflation (CPI, %))",1994,69.5
Denmark,Unemployment levels (%),1994,7.733
Denmark,National savings (% GDP),1994,18.716
Germany,National savings (% GDP),1994,23.241
Japan,"Inflation (CPI, %))",1994,96.262
Japan,National savings (% GDP),1994,29.826
Japan,Unemployment levels (%),1994,2.892
South Africa,"Inflation (CPI, %))",1994,19.1
South Africa,Unemployment levels (%),1994,22.89
South Africa,National savings (% GDP),1994,16.481
Costa Rica,National savings (% GDP),1994,15.878
Chile,Unemployment levels (%),1994,7.808
Costa Rica,Unemployment levels (%),1994,4.2
Costa Rica,"Inflation (CPI, %))",1994,14.075
Chile,"Inflation (CPI, %))",1994,42.203
Chile,National savings (% GDP),1994,20.071
Ghana,"Inflation (CPI, %))",1994,4.702
Ghana,National savings (% GDP),1994,21.62
United States,National savings (% GDP),1995,18.681
United States,Unemployment levels (%),1995,5.592
United States,"Inflation (CPI, %))",1995,154.383
Germany,Unemployment levels (%),1995,8.233
Germany,"Inflation (CPI, %))",1995,75.007
Denmark,"Inflation (CPI, %))",1995,70.7
Denmark,Unemployment levels (%),1995,6.758
Denmark,National savings (% GDP),1995,20.645
Germany,National savings (% GDP),1995,23.408
Japan,"Inflation (CPI, %))",1995,95.712
Japan,National savings (% GDP),1995,29.034
Japan,Unemployment levels (%),1995,3.15
South Africa,"Inflation (CPI, %))",1995,20.4
South Africa,Unemployment levels (%),1995,16.5
South Africa,National savings (% GDP),1995,16.248
Costa Rica,National savings (% GDP),1995,16.319
Chile,Unemployment levels (%),1995,7.375
Costa Rica,Unemployment levels (%),1995,5.2
Costa Rica,"Inflation (CPI, %))",1995,17.251
Chile,"Inflation (CPI, %))",1995,45.663
Chile,National savings (% GDP),1995,24.751
Ghana,"Inflation (CPI, %))",1995,8.032
Ghana,National savings (% GDP),1995,21.675
United States,National savings (% GDP),1996,19.57
United States,Unemployment levels (%),1996,5.408
United States,"Inflation (CPI, %))",1996,159.15
Germany,Unemployment levels (%),1996,8.908
Germany,"Inflation (CPI, %))",1996,76.1
Denmark,"Inflation (CPI, %))",1996,72.3
Denmark,Unemployment levels (%),1996,6.317
Denmark,National savings (% GDP),1996,20.019
Germany,National savings (% GDP),1996,22.976
Japan,"Inflation (CPI, %))",1996,96.22
Japan,National savings (% GDP),1996,33.427
Japan,Unemployment levels (%),1996,3.367
South Africa,"Inflation (CPI, %))",1996,22.3
South Africa,Unemployment levels (%),1996,20.3
South Africa,National savings (% GDP),1996,15.555
Costa Rica,National savings (% GDP),1996,15.394
Chile,Unemployment levels (%),1996,6.5
Costa Rica,Unemployment levels (%),1996,6.2
Costa Rica,"Inflation (CPI, %))",1996,19.647
Chile,"Inflation (CPI, %))",1996,48.691
Chile,National savings (% GDP),1996,25.32
Ghana,"Inflation (CPI, %))",1996,10.13
Ghana,National savings (% GDP),1996,19.038
United States,National savings (% GDP),1997,20.773
United States,Unemployment levels (%),1997,4.942
United States,"Inflation (CPI, %))",1997,161.833
Germany,Unemployment levels (%),1997,9.658
Germany,"Inflation (CPI, %))",1997,77.2
Denmark,"Inflation (CPI, %))",1997,73.4
Denmark,Unemployment levels (%),1997,5.242
Denmark,National savings (% GDP),1997,23.33
Germany,National savings (% GDP),1997,23.061
Japan,"Inflation (CPI, %))",1997,98.219
Japan,National savings (% GDP),1997,33.228
Japan,Unemployment levels (%),1997,3.4
South Africa,"Inflation (CPI, %))",1997,23.7
South Africa,Unemployment levels (%),1997,22.0
South Africa,National savings (% GDP),1997,14.98
Costa Rica,National savings (% GDP),1997,16.413
Chile,Unemployment levels (%),1997,6.108
Costa Rica,Unemployment levels (%),1997,5.7
Costa Rica,"Inflation (CPI, %))",1997,21.848
Chile,"Inflation (CPI, %))",1997,51.635
Chile,National savings (% GDP),1997,25.078
Ghana,"Inflation (CPI, %))",1997,12.373
Ghana,National savings (% GDP),1997,21.355
United States,National savings (% GDP),1998,21.315
United States,Unemployment levels (%),1998,4.5
United States,"Inflation (CPI, %))",1998,164.433
Germany,Unemployment levels (%),1998,9.383
Germany,"Inflation (CPI, %))",1998,77.3
Denmark,"Inflation (CPI, %))",1998,74.3
Denmark,Unemployment levels (%),1998,4.883
Denmark,National savings (% GDP),1998,22.451
Germany,National savings (% GDP),1998,23.563
Japan,"Inflation (CPI, %))",1998,98.741
Japan,National savings (% GDP),1998,32.4
Japan,Unemployment levels (%),1998,4.1
South Africa,"Inflation (CPI, %))",1998,25.9
South Africa,Unemployment levels (%),1998,26.1
South Africa,National savings (% GDP),1998,14.879
Costa Rica,National savings (% GDP),1998,19.078
Chile,Unemployment levels (%),1998,6.217
Costa Rica,Unemployment levels (%),1998,5.6
Costa Rica,"Inflation (CPI, %))",1998,24.548
Chile,"Inflation (CPI, %))",1998,54.043
Chile,National savings (% GDP),1998,23.4
Ghana,"Inflation (CPI, %))",1998,14.322
Ghana,National savings (% GDP),1998,20.2
United States,National savings (% GDP),1999,20.851
United States,Unemployment levels (%),1999,4.217
United States,"Inflation (CPI, %))",1999,169.267
Germany,Unemployment levels (%),1999,8.558
Germany,"Inflation (CPI, %))",1999,78.4
Denmark,"Inflation (CPI, %))",1999,76.6
Denmark,Unemployment levels (%),1999,5.108
Denmark,National savings (% GDP),1999,23.365
Germany,National savings (% GDP),1999,22.601
Japan,"Inflation (CPI, %))",1999,97.737
Japan,National savings (% GDP),1999,30.665
Japan,Unemployment levels (%),1999,4.667
South Africa,"Inflation (CPI, %))",1999,26.5
South Africa,Unemployment levels (%),1999,23.3
South Africa,National savings (% GDP),1999,15.206
Costa Rica,National savings (% GDP),1999,16.215
Chile,Unemployment levels (%),1999,10.008
Costa Rica,Unemployment levels (%),1999,6.022
Costa Rica,"Inflation (CPI, %))",1999,27.03
Chile,"Inflation (CPI, %))",1999,55.291
Chile,National savings (% GDP),1999,22.489
Ghana,"Inflation (CPI, %))",1999,16.297
Ghana,National savings (% GDP),1999,2.192
United States,National savings (% GDP),2000,20.741
United States,Unemployment levels (%),2000,3.967
United States,"Inflation (CPI, %))",2000,175.067
Germany,Unemployment levels (%),2000,7.95
Germany,"Inflation (CPI, %))",2000,80.0
Denmark,"Inflation (CPI, %))",2000,78.4
Denmark,Unemployment levels (%),2000,4.317
Denmark,National savings (% GDP),2000,24.285
Germany,National savings (% GDP),2000,22.44
Japan,"Inflation (CPI, %))",2000,96.987
Japan,National savings (% GDP),2000,31.046
Japan,Unemployment levels (%),2000,4.733
South Africa,"Inflation (CPI, %))",2000,28.2
South Africa,Unemployment levels (%),2000,23.0
South Africa,National savings (% GDP),2000,14.947
Costa Rica,National savings (% GDP),2000,16.128
Chile,Unemployment levels (%),2000,9.708
Costa Rica,Unemployment levels (%),2000,5.193
Costa Rica,"Inflation (CPI, %))",2000,29.8
Chile,"Inflation (CPI, %))",2000,57.794
Chile,National savings (% GDP),2000,22.505
Ghana,"Inflation (CPI, %))",2000,22.904
Ghana,National savings (% GDP),2000,29.395
United States,National savings (% GDP),2001,19.581
United States,Unemployment levels (%),2001,4.742
United States,"Inflation (CPI, %))",2001,177.783
Germany,Unemployment levels (%),2001,7.8
Germany,"Inflation (CPI, %))",2001,81.1
Denmark,"Inflation (CPI, %))",2001,80.0
Denmark,Unemployment levels (%),2001,4.508
Denmark,National savings (% GDP),2001,25.393
Germany,National savings (% GDP),2001,22.591
Japan,"Inflation (CPI, %))",2001,96.105
Japan,National savings (% GDP),2001,29.725
Japan,Unemployment levels (%),2001,5.042
South Africa,"Inflation (CPI, %))",2001,29.6
South Africa,Unemployment levels (%),2001,25.95
South Africa,National savings (% GDP),2001,14.82
Costa Rica,National savings (% GDP),2001,16.897
Chile,Unemployment levels (%),2001,9.867
Costa Rica,Unemployment levels (%),2001,6.072
Costa Rica,"Inflation (CPI, %))",2001,33.065
Chile,"Inflation (CPI, %))",2001,59.317
Chile,National savings (% GDP),2001,22.953
Ghana,"Inflation (CPI, %))",2001,27.78
Ghana,National savings (% GDP),2001,30.772
United States,National savings (% GDP),2002,18.303
United States,Unemployment levels (%),2002,5.783
United States,"Inflation (CPI, %))",2002,182.433
Germany,Unemployment levels (%),2002,8.6
Germany,"Inflation (CPI, %))",2002,81.9
Denmark,"Inflation (CPI, %))",2002,82.1
Denmark,Unemployment levels (%),2002,4.642
Denmark,National savings (% GDP),2002,24.254
Germany,National savings (% GDP),2002,22.106
Japan,"Inflation (CPI, %))",2002,95.594
Japan,National savings (% GDP),2002,28.508
Japan,Unemployment levels (%),2002,5.358
South Africa,"Inflation (CPI, %))",2002,33.2
South Africa,Unemployment levels (%),2002,27.8
South Africa,National savings (% GDP),2002,15.843
Costa Rica,National savings (% GDP),2002,14.7
Chile,Unemployment levels (%),2002,9.8
Costa Rica,Unemployment levels (%),2002,6.403
Costa Rica,"Inflation (CPI, %))",2002,36.267
Chile,"Inflation (CPI, %))",2002,60.993
Chile,National savings (% GDP),2002,23.122
Ghana,"Inflation (CPI, %))",2002,31.994
Ghana,National savings (% GDP),2002,26.804
United States,National savings (% GDP),2003,17.351
United States,Unemployment levels (%),2003,5.992
United States,"Inflation (CPI, %))",2003,185.917
Germany,Unemployment levels (%),2003,9.708
Germany,"Inflation (CPI, %))",2003,82.8
Denmark,"Inflation (CPI, %))",2003,83.1
Denmark,Unemployment levels (%),2003,5.433
Denmark,National savings (% GDP),2003,24.811
Germany,National savings (% GDP),2003,21.076
Japan,"Inflation (CPI, %))",2003,95.304
Japan,National savings (% GDP),2003,28.746
Japan,Unemployment levels (%),2003,5.242
South Africa,"Inflation (CPI, %))",2003,33.3
South Africa,Unemployment levels (%),2003,27.65
South Africa,National savings (% GDP),2003,14.922
Costa Rica,National savings (% GDP),2003,13.757
Chile,Unemployment levels (%),2003,9.533
Costa Rica,Unemployment levels (%),2003,6.668
Costa Rica,"Inflation (CPI, %))",2003,39.846
Chile,"Inflation (CPI, %))",2003,61.647
Chile,National savings (% GDP),2003,23.573
Ghana,"Inflation (CPI, %))",2003,39.533
Ghana,National savings (% GDP),2003,31.685
United States,National savings (% GDP),2004,17.662
United States,Unemployment levels (%),2004,5.542
United States,"Inflation (CPI, %))",2004,191.883
Germany,Unemployment levels (%),2004,10.333
Germany,"Inflation (CPI, %))",2004,84.6
Denmark,"Inflation (CPI, %))",2004,83.9
Denmark,Unemployment levels (%),2004,5.517
Denmark,National savings (% GDP),2004,25.681
Germany,National savings (% GDP),2004,23.536
Japan,"Inflation (CPI, %))",2004,95.81
Japan,National savings (% GDP),2004,29.359
Japan,Unemployment levels (%),2004,4.733
South Africa,"Inflation (CPI, %))",2004,34.5
South Africa,Unemployment levels (%),2004,25.15
South Africa,National savings (% GDP),2004,14.489
Costa Rica,National savings (% GDP),2004,15.304
Chile,Unemployment levels (%),2004,10.017
Costa Rica,Unemployment levels (%),2004,6.495
Costa Rica,"Inflation (CPI, %))",2004,45.077
Chile,"Inflation (CPI, %))",2004,63.144
Chile,National savings (% GDP),2004,24.473
Ghana,"Inflation (CPI, %))",2004,44.189
Ghana,National savings (% GDP),2004,36.785
United States,National savings (% GDP),2005,18.052
United States,Unemployment levels (%),2005,5.083
United States,"Inflation (CPI, %))",2005,198.95
Germany,Unemployment levels (%),2005,11.008
Germany,"Inflation (CPI, %))",2005,86.4
Denmark,"Inflation (CPI, %))",2005,85.8
Denmark,Unemployment levels (%),2005,4.8
Denmark,National savings (% GDP),2005,26.224
Germany,National savings (% GDP),2005,23.387
Japan,"Inflation (CPI, %))",2005,95.083
Japan,National savings (% GDP),2005,29.573
Japan,Unemployment levels (%),2005,4.425
South Africa,"Inflation (CPI, %))",2005,35.7
South Africa,Unemployment levels (%),2005,24.65
South Africa,National savings (% GDP),2005,14.039
Costa Rica,National savings (% GDP),2005,14.674
Chile,Unemployment levels (%),2005,9.3
Costa Rica,Unemployment levels (%),2005,6.63
Costa Rica,"Inflation (CPI, %))",2005,51.422
Chile,"Inflation (CPI, %))",2005,65.454
Chile,National savings (% GDP),2005,25.156
Ghana,"Inflation (CPI, %))",2005,50.745
Ghana,National savings (% GDP),2005,36.192
United States,National savings (% GDP),2006,19.126
United States,Unemployment levels (%),2006,4.608
United States,"Inflation (CPI, %))",2006,203.325
Germany,Unemployment levels (%),2006,10.042
Germany,"Inflation (CPI, %))",2006,87.6
Denmark,"Inflation (CPI, %))",2006,87.2
Denmark,Unemployment levels (%),2006,3.9
Denmark,National savings (% GDP),2006,27.443
Germany,National savings (% GDP),2006,25.708
Japan,"Inflation (CPI, %))",2006,95.432
Japan,National savings (% GDP),2006,29.869
Japan,Unemployment levels (%),2006,4.117
South Africa,"Inflation (CPI, %))",2006,37.8
South Africa,Unemployment levels (%),2006,23.55
South Africa,National savings (% GDP),2006,14.462
Costa Rica,National savings (% GDP),2006,16.953
Chile,Unemployment levels (%),2006,7.95
Costa Rica,Unemployment levels (%),2006,5.962
Costa Rica,"Inflation (CPI, %))",2006,56.273
Chile,"Inflation (CPI, %))",2006,67.136
Chile,National savings (% GDP),2006,27.682
Ghana,"Inflation (CPI, %))",2006,56.288
Ghana,National savings (% GDP),2006,33.296
United States,National savings (% GDP),2007,17.354
United States,Unemployment levels (%),2007,4.617
United States,"Inflation (CPI, %))",2007,211.63
Germany,Unemployment levels (%),2007,8.542
Germany,"Inflation (CPI, %))",2007,90.3
Denmark,"Inflation (CPI, %))",2007,89.4
Denmark,Unemployment levels (%),2007,3.617
